,Country name,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Region
18,Burkina Faso,2017,4.646891117,7.440206527999999,0.784761369,53.40000153,0.6137747170000001,-0.054843456,0.727451324,0.5851724739999999,0.353821069,0.540656149,-0.433187962,-0.386786103,2.19759202,SUB-SAHARAN AFRICA
19,Cambodia,2017,4.585842133,8.201130867,0.7650949359999999,61.20000076,0.963774681,0.085995324,0.821022928,0.798616648,0.40828383,0.752442479,-0.493880957,-0.876292229,2.732651472,ASIA (EX. NEAR EAST)
20,Cameroon,2017,5.07405138,8.121161461,0.69459641,51.90000153,0.7669450040000001,-0.031570964,0.84358561,0.632338762,0.377498746,0.578775525,-1.06689775,-0.962742329,2.815224409,SUB-SAHARAN AFRICA
21,Canada,2017,7.414868355,10.69234467,0.93374896,73.40000153,0.945145011,0.155016169,0.362034321,0.8627734779999999,0.21798116,0.652735949,1.2952837940000002,1.866527677,1.603363752,NORTHERN AMERICA
22,Central African Republic,2017,3.475862026,6.494116783,0.319589138,45.20000076,0.645252347,0.093754359,0.8895660040000001,0.6138651970000001,0.599335492,0.650284886,-1.523121834,-1.538732529,2.807073832,SUB-SAHARAN AFRICA
23,Chad,2017,4.558937073,7.4776911739999985,0.660615563,47.70000076,0.614849687,-0.004919504,0.792389929,0.627503157,0.53824544,0.473544389,-1.3564798830000002,-1.349586964,2.880960464,SUB-SAHARAN AFRICA
24,Chile,2017,6.3201193810000005,10.03306866,0.8798407909999999,69.80000305,0.7901164890000001,-0.030261263,0.835987508,0.83847481,0.291042089,0.268283308,0.688375235,1.059408069,2.162420273,LATIN AMER. & CARIB
25,China,2017,5.099061489,9.636177063,0.772033215,69.0,0.8776175979999999,-0.191224813,0.722924,0.821097255,0.214004755,0.490162,-0.87781024,-0.064554513,2.271663904,ASIA (EX. NEAR EAST)
26,Colombia,2017,6.157341957000001,9.492126465,0.909249961,67.40000153,0.8375546340000001,-0.162942991,0.87501812,0.8369269970000001,0.299308956,0.221882597,-0.33744511,-0.113991968,2.544821501,LATIN AMER. & CARIB
27,Congo (Brazzaville),2017,4.883991241,8.493188858,0.655440509,57.29999924,0.777783453,-0.163537174,0.76278311,0.598951638,0.381640553,0.469826549,-0.8244247440000001,-1.239475012,2.906801224,SUB-SAHARAN AFRICA
28,Congo (Kinshasa),2017,4.3110332489999985,6.694726944,0.669688404,52.90000153,0.704239547,0.085066363,0.8091818690000001,0.550525904,0.404262066,0.4784123,-1.872269154,-1.551753879,2.642479181,SUB-SAHARAN AFRICA
29,Costa Rica,2017,7.22518158,9.650206566,0.92169714,71.09999847,0.93561846,-0.073179178,0.7423507570000001,0.8743958470000001,0.275440067,0.407448441,0.8151865009999999,0.404245347,2.07998395,LATIN AMER. & CARIB
30,Croatia,2017,5.343165873999999,10.02878857,0.770309687,69.59999847,0.7158222790000001,-0.105906412,0.89155972,0.655305028,0.31648823600000003,0.211000666,0.6282944079999999,0.380520016,1.570821404,EASTERN EUROPE
31,Cyprus,2017,6.062051296,10.3863802,0.818671048,73.5,0.811670661,0.040062714,0.8512064220000001,0.7841884490000001,0.300516605,0.312653422,0.827816248,0.904508114,2.369524956,NEAR EAST
32,Czech Republic,2017,6.789567947,10.39224911,0.900968969,69.80000305,0.8317855,-0.178765178,0.866524994,0.738743961,0.226649791,0.343870819,0.99339664,0.985034347,1.697134495,EASTERN EUROPE
33,Denmark,2017,7.593702316,10.75112534,0.952100098,72.09999847,0.955416322,0.152028441,0.18114756,0.8236674070000001,0.205775306,0.572353303,1.190443397,1.868862629,1.66807425,WESTERN EUROPE
34,Dominican Republic,2017,5.605202675,9.588835716,0.894368112,65.5,0.8553590179999999,-0.123324633,0.760489643,0.7389436359999999,0.274745524,0.459901333,0.158870548,-0.397110552,3.240837097,LATIN AMER. & CARIB
35,Ecuador,2017,5.839518547000001,9.266903877,0.8489417429999999,68.19999695,0.879128158,-0.170977935,0.733588755,0.8291419740000001,0.314343482,0.640512884,-0.137001991,-0.655896366,2.693175316,LATIN AMER. & CARIB
36,Egypt,2017,3.929344177,9.263900757,0.63822639,61.40000153,0.592504799,-0.159880474,0.8271353773333333,0.539322555,0.414493799,0.6034623483333332,-1.332292676,-0.63917017,2.289860725,NORTHERN AFRICA
37,El Salvador,2017,6.339318275,8.8945961,0.82895261,65.80000305,0.757827342,-0.170792967,0.777748585,0.848850608,0.26844835300000003,0.270235062,-0.046964772,-0.470085859,2.477155924,LATIN AMER. & CARIB
38,Estonia,2017,5.938395977000001,10.29150963,0.93568635,68.40000153,0.861749232,-0.104597919,0.668402255,0.805217981,0.160164103,0.405946255,0.93688798,1.320733786,1.8518399,BALTICS
39,Ethiopia,2017,4.180315495,7.455834389,0.73353976,58.0,0.717101216,0.007518843000000002,0.75689894,0.608514786,0.304436177,0.768354297,-1.564677238,-0.6789866090000001,1.829915881,SUB-SAHARAN AFRICA
40,Finland,2017,7.788251877,10.61117172,0.963826418,71.80000305,0.962198973,-0.005695975,0.192412779,0.787137091,0.176065788,0.59753859,1.311007023,1.999899864,1.4163982869999998,WESTERN EUROPE
41,France,2017,6.635222435,10.56115437,0.931494594,73.59999847,0.83389014,-0.127377018,0.601486027,0.762097776,0.241983935,0.37479353,0.67997849,1.301757574,1.631064415,WESTERN EUROPE
42,Gabon,2017,4.782382965,9.714891434,0.806941152,59.20000076,0.652359545,-0.247073993,0.8683055040000001,0.634047151,0.446124285,0.286989242,-0.571620047,-0.803622365,2.457131147,SUB-SAHARAN AFRICA
43,Gambia,2017,4.117938995,7.353572845,0.697001517,54.70000076,0.812325835,0.126379773,0.571615577,0.838287175,0.27724719,0.7964932920000001,-0.427905083,-0.5523322820000001,2.480230808,SUB-SAHARAN AFRICA
44,Georgia,2017,4.45077467,9.18451786,0.590495169,64.69999695,0.820908785,-0.230505854,0.589631975,0.5811277029999999,0.209639609,0.29639622600000004,-0.054174274,0.674269736,1.7750799659999998,C.W. OF IND. STATES
45,Germany,2017,7.074324608,10.71949959,0.8921660779999999,71.90000153,0.8407278659999999,0.141375408,0.414021194,0.7365657090000001,0.196434811,0.622935653,0.982752085,1.737967253,1.441730261,WESTERN EUROPE
46,Ghana,2017,5.4813108439999985,8.349396706,0.669111073,56.79999924,0.783046365,0.082861453,0.8386099929999999,0.702511728,0.247518942,0.670288563,0.339194328,-0.086163089,2.551119566,SUB-SAHARAN AFRICA
47,Greece,2017,5.14824152,10.10945988,0.7528995279999999,72.19999695,0.438300014,-0.291227311,0.87223947,0.60293901,0.332830757,0.139880896,0.291475028,0.12445531,2.411631107,WESTERN EUROPE
48,Guatemala,2017,6.325118542,8.912446976,0.826492071,64.5,0.914521694,-0.059932403,0.7997478840000001,0.845865786,0.308086157,0.458623856,-0.427182585,-0.6736540790000001,2.858946085,LATIN AMER. & CARIB
49,Guinea,2017,4.873722553,7.600365162,0.634025574,53.29999924,0.7382128240000001,0.046024639000000006,0.7500262259999999,0.704477131,0.422460884,0.639980793,-0.6735675329999999,-1.029090166,2.969935417,SUB-SAHARAN AFRICA
50,Haiti,2017,3.823865652,7.410451412,0.646984994,55.5,0.484429151,0.380740523,0.647191584,0.5733667020000001,0.321692765,0.435076952,-0.7209035159999999,-1.4244407419999998,2.15694499,LATIN AMER. & CARIB
51,Honduras,2017,6.019985676,8.421077728,0.84335494,67.0,0.898377419,0.078603566,0.783429444,0.842200935,0.248383343,0.495585024,-0.496900558,-0.6778169270000001,2.963586092,LATIN AMER. & CARIB
