,Country name,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,"gini of household income reported in Gallup, by wp5-year"
894,Luxembourg,2017,7.061380862999999,11.45400238,0.905435503,72.59999847,0.90282172,0.039554782000000004,0.33017358199999997,0.7658168670000001,0.18446700300000002,0.73892206,1.42865932,1.7744059559999998,1.424475908,0.201727673,0.292349696
905,Macedonia,2017,5.233866692,9.481223106,0.79995513,67.30000305,0.752106607,-0.057991772999999996,0.8556972740000001,0.502459884,0.29939058399999996,0.442916453,-0.194677427,0.02404955,2.111887217,0.40350419299999996,0.371204376
915,Madagascar,2017,4.078620433999999,7.255901337,0.626331985,58.70000076,0.570347905,-0.029692357000000003,0.847260773,0.751698077,0.374838024,0.541916132,-0.33716958799999996,-0.934928179,2.3289148809999998,0.571005523,0.57831651
926,Malawi,2017,3.416862965,6.998548031,0.555422723,56.90000153,0.847920775,0.017441062,0.734636605,0.608666539,0.312088341,0.620332539,-0.151014924,-0.610420644,2.760293245,0.8078442809999999,0.57405597
949,Mali,2017,4.741850376,7.6080298420000005,0.741359413,51.20000076,0.7532133459999999,-0.067120329,0.862655163,0.7418357729999999,0.39278414799999994,0.504820108,-1.083188891,-0.730654597,2.5116679669999997,0.529680967,0.549026549
959,Malta,2017,6.675665855,10.50543213,0.9373317959999999,72.19999695,0.923642933,0.247621223,0.6904945370000001,0.720753372,0.302443117,0.75200516,1.2174563409999999,1.042565584,1.994550347,0.29877924899999997,0.41963762
976,Mauritius,2017,6.174117565,9.918018341,0.910142243,66.09999847,0.9123075009999999,0.077978596,0.818179905,0.7477601770000001,0.168721184,0.614670753,0.892901719,0.69395721,2.247790575,0.36406669,0.415626824
989,Mexico,2017,6.410299301,9.760567665,0.7998393770000001,68.0,0.8614051340000001,-0.20424206600000003,0.8008930679999999,0.842642307,0.230990887,0.25695315,-0.36254662299999996,-0.330811292,2.236207247,0.34884598899999997,0.438771129
1002,Moldova,2017,5.325530529,8.554483414,0.83076793,64.30000305,0.552825212,-0.003629582,0.926333785,0.5814887879999999,0.259477794,0.132729635,-0.134786367,-0.44035649299999996,1.885169268,0.353987128,0.433169961
1013,Mongolia,2017,5.333850384,9.379310607999999,0.924250782,62.09999847,0.674627423,0.104439713,0.8649522070000001,0.675165296,0.21359951800000002,0.275058359,0.554071605,-0.283345133,2.095161676,0.39280474200000004,0.38935151700000004
1024,Montenegro,2017,5.614798546,9.705602646000001,0.881199837,68.30000305,0.625906289,-0.082077965,0.755680025,0.519128144,0.349785089,0.351549894,0.068295658,0.094668902,2.207511902,0.39315959799999994,0.352438509
1032,Morocco,2017,5.312482834,8.920658112,0.6411930920000001,65.59999847,0.814258039,-0.22703394300000002,0.8405024409999999,0.559288204,0.322715908,0.439822,-0.53093636,-0.173838362,2.287168264,0.43052718,0.527966917
1039,Mozambique,2017,4.279863358,7.035358906,0.678463697,53.20000076,0.8226705190000001,-0.024964124,0.682108939,0.648381412,0.353176504,0.7592343690000001,-0.699048221,-0.871083498,2.9850199219999998,0.697456837,0.608845353
1046,Myanmar,2017,4.1543416980000005,8.629019737,0.7951838370000001,58.70000076,0.886011839,0.629576743,0.6188215020000001,0.74564749,0.28228554100000003,0.82417655,-0.974802852,-0.848311067,2.233865976,0.537718415,0.424162179
1050,Namibia,2017,4.441306114,9.163438797000001,0.82833904,56.20000076,0.810401857,-0.196625322,0.8313028809999999,0.72067821,0.277252167,0.7458536029999999,0.598779202,0.14325617300000001,2.739773273,0.616884589,0.602735937
1063,Nepal,2017,4.736692429,7.80090189,0.816383302,62.40000153,0.84514761,0.144506738,0.770177126,0.570577025,0.375977933,0.559578538,-0.448143601,-0.755725801,2.468453646,0.521134436,0.463746637
1075,Netherlands,2017,7.458965302,10.78875256,0.9365013240000001,72.19999695,0.9203197359999999,0.244597197,0.363133639,0.852184892,0.184519842,0.669553638,1.2429327959999998,1.899130225,1.318479896,0.176764444,0.44193548
1087,New Zealand,2017,7.32718277,10.49365616,0.95492065,73.0,0.942279458,0.289705753,0.221887484,0.8174312709999999,0.171716571,0.609015465,1.5750092269999998,2.0046710969999997,1.650335789,0.22523470199999998,0.44644218700000005
1100,Nicaragua,2017,6.476356506,8.579500198,0.83804369,67.19999695,0.922162771,0.010300541,0.6729633209999999,0.849764168,0.30844789699999997,0.590425193,-0.382219225,-0.706709802,2.657253265,0.41030064200000005,0.442813009
1113,Niger,2017,4.615673542,6.830874443,0.582109571,53.0,0.68355757,-0.017152032,0.777660012,0.731161416,0.426522374,0.601117253,-0.8584921959999999,-0.668969095,2.780397892,0.602381825,0.65929687
1124,Nigeria,2017,5.321928024,8.582691192999999,0.7334685329999999,49.29999924,0.8259055609999999,0.113835752,0.834891975,0.724990547,0.235968769,0.558790743,-1.142486572,-0.9448615909999999,2.947903156,0.553916395,0.46859923
1138,Norway,2017,7.578744887999999,11.07906151,0.9501276609999999,73.09999847,0.9530168179999999,0.21810506300000002,0.24971137899999998,0.849099994,0.202913806,0.7171597479999999,1.4226391319999998,2.013393879,1.6217260359999999,0.213983461,0.328113139
1152,Pakistan,2017,5.8308706279999996,8.524110794,0.6902635690000001,58.09999847,0.7126570940000001,0.030064492999999998,0.7139282229999999,0.586166978,0.30834108600000004,0.557435155,-1.5469545130000002,-0.670003951,1.778067946,0.304940373,0.411645055
1178,Panama,2017,6.567658901000001,10.01086235,0.9119048120000001,69.5,0.899573505,-0.160123616,0.8407770990000001,0.832688808,0.24231933100000003,0.390996099,0.45525762399999997,-0.026318185,2.677187681,0.407631963,0.47434267399999996
1191,Paraguay,2017,5.71329546,9.085571288999999,0.902042508,65.5,0.891171455,0.018430408,0.809900761,0.902772129,0.231783673,0.381784081,0.037547644,-0.604874909,2.428467274,0.425055444,0.447035611
1203,Peru,2017,5.710936546,9.412195206,0.830123365,67.80000305,0.826552153,-0.163864419,0.895384133,0.7893908620000001,0.393873721,0.254595339,0.008478746,-0.176697567,2.594314098,0.45427122700000006,0.479469627
1216,Philippines,2017,5.594270229,8.935796737999999,0.851028562,61.79999924,0.925703108,-0.146240324,0.711165547,0.768981457,0.340621501,0.83773005,-0.577247143,-0.233417705,2.597185135,0.464258075,0.503399193
